date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-04-11,3951.0,147577.0,570.0,18851.0,,,65.34701531022185,311.7834942072873,
2020-04-12,4694.0,152271.0,619.0,19470.0,,,77.63576053307551,322.0213586661654,
2020-04-13,4092.0,156363.0,431.0,19901.0,,,67.67906521119407,329.14982325708047,
2020-04-14,3153.0,159516.0,564.0,20465.0,,,52.14860523237901,338.4780228609694,
2020-04-15,2972.0,162488.0,604.0,21069.0,,,49.15498089141466,348.46779690485045,
2020-04-16,2667.0,165155.0,578.0,21647.0,,,44.11047578647473,358.02754756273663,
2020-04-17,3786.0,168941.0,525.0,22172.0,,,62.61802074525434,366.7107120876332,
2020-04-18,3493.0,172434.0,575.0,22747.0,,,57.771987972312054,376.22084466251994,
2020-04-19,3491.0,175925.0,480.0,23227.0,,,57.738909250312446,384.1597379424254,
2020-04-20,3047.0,178972.0,433.0,23660.0,7841.0,7841.0,50.39543296639989,391.3212812553401,129.6851295994557
2020-04-21,2256.0,181228.0,454.0,24114.0,28095.0,35936.0,37.312798415555676,398.83015114925075,594.3584768889224
2020-04-22,2729.0,183957.0,534.0,24648.0,44248.0,80184.0,45.13591616846252,407.66216992314554,1326.1921224082078
2020-04-23,3370.0,187327.0,437.0,25085.0,37083.0,117267.0,55.73764656933628,414.8898706800595,1939.521246363904
2020-04-24,2646.0,189973.0,464.0,25549.0,95273.0,212540.0,43.76314920547887,422.5641341839681,3515.2757868981403
2020-04-25,3021.0,192994.0,420.0,25969.0,38676.0,251216.0,49.96540958040501,429.5106658038854,4154.952112926523
2020-04-26,2357.0,195351.0,415.0,26384.0,24113.0,275329.0,38.98327387653579,436.37450061880367,4553.765724714774
2020-04-27,2324.0,197675.0,260.0,26644.0,26678.0,302007.0,38.437474963542286,440.67473447875244,4995.0027974675195
2020-04-28,1739.0,199414.0,333.0,26977.0,37554.0,339561.0,28.7619487786575,446.1823416916869,5616.121960454123
2020-04-29,2091.0,201505.0,382.0,27359.0,38589.0,378150.0,34.583803850588176,452.50037759361163,6254.359362075523
2020-04-30,2086.0,203591.0,323.0,27682.0,41441.0,419591.0,34.50110704558916,457.842591196548,6939.7670212683615
2020-05-01,1872.0,205463.0,285.0,27967.0,43732.0,463323.0,30.96168379163131,462.55630908149186,7663.066356511748
2020-05-02,1965.0,207428.0,269.0,28236.0,31231.0,494554.0,32.49984436461299,467.0053971904389,8179.607139896597
2020-05-03,1900.0,209328.0,474.0,28710.0,27047.0,521601.0,31.424785899625792,474.8450543043455,8626.94723685827
2020-05-04,1389.0,210717.0,174.0,28884.0,22999.0,544600.0,22.973172428726436,477.72290311831125,9007.33600049274
2020-05-05,1221.0,211938.0,195.0,29079.0,32211.0,576811.0,20.194559780759523,480.9480785132729,9540.085357657397
2020-05-06,1075.0,213013.0,236.0,29315.0,37771.0,614582.0,17.77981307478828,484.8513677092264,10164.793561980958
2020-05-07,1444.0,214457.0,369.0,29684.0,13665.0,628247.0,23.882837283715602,490.9543919181537,10390.803930043267
2020-05-08,1401.0,215858.0,274.0,29958.0,45428.0,673675.0,23.17164476072407,495.4861768320998,11142.15402154232
